,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,ashtian,34.5217,50.0019,69.8,19,40,18.41,IR,1616052249
85,hofn,64.2539,-15.2082,46.8,71,0,7.31,IS,1616052249
86,airai,-8.9266,125.4092,69.48,81,98,1.28,TL,1616052250
87,bengkulu,-3.8004,102.2655,84.88,64,92,8.37,ID,1616052251
88,menongue,-14.6585,17.691,68.63,86,94,2.86,AO,1616052251
89,paamiut,61.994,-49.6678,21.76,91,100,15.28,GL,1616052252
90,kortkeros,61.8106,51.5806,28.4,69,20,8.95,RU,1616052253
91,mbanza-ngungu,-5.25,14.8667,69.58,92,99,4.97,CD,1616052254
92,tilichiki,60.4667,166.1,7.97,94,100,8.66,RU,1616052255
93,cabo san lucas,22.8909,-109.9124,62.01,75,0,1.99,MX,1616052075
94,puerto escondido,15.85,-97.0667,75.22,74,0,4.7,MX,1616052256
95,yumen,40.2833,97.2,44.91,23,100,17.05,CN,1616052257
96,sao joao da barra,-21.6403,-41.0511,73.87,89,37,12.1,BR,1616052206
97,port lincoln,-34.7333,135.8667,74.75,57,0,9.66,AU,1616052258
98,yellowknife,62.456,-114.3525,19.4,73,75,8.05,CA,1616052062
99,tiksi,71.6872,128.8694,-26.27,93,100,5.88,RU,1616052260
100,brownsville,25.9018,-97.4975,66.0,76,1,11.36,US,1616052261
101,srikakulam,18.3,83.9,91.94,38,64,11.25,IN,1616052262
102,lompoc,34.6391,-120.4579,48.2,87,1,4.29,US,1616052262
103,mungeli,22.0667,81.6833,99.75,12,24,4.41,IN,1616052263
104,jibuti,11.5,42.5,84.2,61,75,3.44,DJ,1616052264
105,los llanos de aridane,28.6585,-17.9182,62.6,72,0,12.66,ES,1616052264
106,souillac,-20.5167,57.5167,84.2,58,40,11.5,MU,1616052265
107,ellensburg,46.9965,-120.5479,39.2,75,1,4.61,US,1616052266
108,puerto ayora,-0.7393,-90.3518,73.99,93,17,1.01,EC,1616052267
109,pangody,65.85,74.4859,-6.56,89,90,4.52,RU,1616052267
110,archidona,37.0965,-4.3887,53.01,69,0,3.02,ES,1616052268
111,beringovskiy,63.05,179.3167,-14.44,89,0,4.68,RU,1616052269
112,kayerkan,69.3497,87.7602,-19.89,90,48,6.6,RU,1616052269
113,kavaratti,10.5669,72.642,83.07,65,68,1.28,IN,1616052270
114,dukat,62.55,155.55,-8.23,90,0,3.06,RU,1616052271
115,myaundzha,63.0494,147.1858,-4.38,87,0,2.77,RU,1616052272
116,dudinka,69.4058,86.1778,-20.51,89,51,8.68,RU,1616052273
117,bethel,41.3712,-73.414,44.6,70,90,4.61,US,1616052273
118,vaitape,-16.5167,-151.75,82.72,73,0,10.36,PF,1616052274
119,santa barbara,34.7333,-120.0343,46.99,93,1,1.07,US,1616052094
120,iqaluit,63.7506,-68.5145,-20.0,69,20,8.05,CA,1616052276
121,ostrovnoy,68.0531,39.5131,9.16,87,3,1.36,RU,1616052277
122,salalah,17.0151,54.0924,82.4,54,0,9.22,OM,1616052036
123,sabang,5.8933,95.3214,83.35,71,0,13.6,ID,1616052278
124,zhigansk,66.7697,123.3711,-15.34,86,100,12.68,RU,1616052279
125,mbekenyera,-10.0,38.9833,78.15,87,59,0.98,TZ,1616052280
126,sinnamary,5.3833,-52.95,75.4,83,17,9.51,GF,1616052280
127,sovetskiy,61.3614,63.5842,26.98,92,100,8.43,RU,1616052028
128,makat,47.6469,53.3463,42.04,53,100,24.63,KZ,1616052282
129,pevek,69.7008,170.3133,-23.22,98,0,5.14,RU,1616052283
130,ronne,55.1009,14.7066,35.6,100,75,3.44,DK,1616052284
131,san luis,-33.295,-66.3356,52.84,82,100,12.53,AR,1616052284
132,klaksvik,62.2266,-6.589,42.8,100,93,17.63,FO,1616052285
133,the pas,53.8251,-101.2541,30.2,69,90,10.36,CA,1616052286
134,shimanovsk,52.0,127.7,27.95,66,67,7.92,RU,1616052286
135,hamilton,39.1834,-84.5333,55.99,94,90,6.91,US,1616052287
136,buchanan,5.8808,-10.0467,73.4,94,40,3.69,LR,1616052288
137,garowe,8.4054,48.4845,77.88,57,99,7.27,SO,1616052288
