,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
368,leningradskiy,69.3833,178.4167,-16.94,89,56,7.67,RU,1616052458
369,north platte,41.1239,-100.7654,35.6,75,90,8.05,US,1616052459
370,lichinga,-13.3128,35.2406,68.0,94,75,4.61,MZ,1616052459
371,san pedro ayampuc,14.7867,-90.4511,61.0,94,20,3.13,GT,1616052460
372,sao jose da coroa grande,-8.8978,-35.1478,76.98,80,40,5.23,BR,1616052461
373,sitka,57.0531,-135.33,37.4,65,90,5.75,US,1616052463
374,ahero,-0.1746,34.9163,77.0,65,40,4.61,KE,1616052463
375,ormara,25.2088,64.6357,77.97,63,25,10.02,PK,1616052464
376,kibre mengist,5.8833,38.9833,72.46,59,100,5.35,ET,1616052264
377,gushikawa,26.3544,127.8686,75.2,73,90,4.61,JP,1616052465
378,khani,41.9563,42.9566,55.4,71,75,8.05,GE,1616052466
379,ust-ilimsk,58.0006,102.6619,23.68,83,100,7.87,RU,1616052467
380,havre-saint-pierre,50.2334,-63.5986,15.8,92,20,4.61,CA,1616052467
381,skagen,57.7209,10.5839,33.01,86,100,5.99,DK,1616052468
382,bereda,43.2686,-7.5406,43.0,100,73,8.99,ES,1616052469
383,brockville,44.5834,-75.6826,35.01,100,90,5.35,CA,1616052469
384,kamaishi,39.2667,141.8833,42.8,56,75,9.22,JP,1616052470
385,bocas del toro,9.3333,-82.25,62.01,95,43,1.01,PA,1616052471
386,contamana,-7.3333,-75.0167,72.37,90,65,2.01,PE,1616052472
387,arlit,18.7369,7.3853,80.53,14,1,9.8,NE,1616052472
388,hermosillo,29.0667,-110.9667,55.99,45,0,3.0,MX,1616052368
389,warrnambool,-38.3833,142.4833,75.99,55,0,13.6,AU,1616052474
390,presidencia roque saenz pena,-26.7852,-60.4388,62.19,85,3,7.31,AR,1616052205
391,hearst,49.6835,-83.6665,17.6,57,95,11.5,CA,1616052475
392,fayetteville,35.0527,-78.8784,51.8,87,90,5.75,US,1616052475
393,oistins,13.0667,-59.5333,75.2,69,40,10.36,BB,1616052476
394,mujiayingzi,42.1167,118.7833,47.95,22,0,13.33,CN,1616052477
395,lokbatan,40.3237,49.728,46.4,100,75,20.71,AZ,1616052478
396,nantucket,41.2835,-70.0995,39.0,88,64,6.44,US,1616052196
397,moree,-29.4667,149.85,84.2,42,75,4.61,AU,1616052479
398,tucumcari,35.1717,-103.725,35.6,75,1,3.44,US,1616052480
399,yozgat,39.5833,35.3333,36.91,57,44,10.18,TR,1616052480
400,ridgecrest,35.6225,-117.6709,55.99,28,1,6.91,US,1616052481
401,olga,43.7444,135.2892,41.41,41,0,11.88,RU,1616052482
402,turka,49.1541,23.0297,33.01,79,100,10.42,UA,1616052482
403,hambantota,6.1241,81.1185,82.4,78,90,4.61,LK,1616052483
404,astoria,46.1879,-123.8313,42.01,87,1,4.61,US,1616052484
405,ayan,56.45,138.1667,25.95,68,64,7.11,RU,1616052484
406,kouango,4.9934,19.9619,73.78,85,100,5.73,CF,1616052485
407,kharod,21.75,82.5667,100.45,12,3,4.38,IN,1616052486
408,hirara,24.8,125.2833,77.0,78,20,11.5,JP,1616052487
409,key west,24.5557,-81.7826,77.0,83,90,9.22,US,1616052427
410,castiglione del lago,43.1271,12.0453,43.0,78,60,5.08,IT,1616052488
411,verkh-usugli,52.7,115.1667,26.37,61,100,2.57,RU,1616052489
412,basoko,1.2391,23.616,72.25,91,100,0.4,CD,1616052489
413,kattivakkam,13.2167,80.3167,87.8,48,40,6.91,IN,1616052242
414,sveio,59.5419,5.3518,41.0,81,0,4.61,NO,1616052491
415,meulaboh,4.1363,96.1285,85.5,64,23,6.98,ID,1616052492
416,lebedinyy,58.5167,125.5167,18.27,89,100,8.46,RU,1616052492
417,jiexiu,37.0244,111.9125,53.35,54,99,3.91,CN,1616052494
418,kamenka,51.3223,42.7678,30.99,93,100,2.44,RU,1616052494
419,rawson,-43.3002,-65.1023,51.55,63,0,13.67,AR,1616052495
420,nabire,-3.3667,135.4833,85.03,71,51,4.32,ID,1616052306
421,three hills,51.7001,-113.2686,37.0,74,100,6.91,CA,1616052497
422,vila velha,-20.3297,-40.2925,79.0,94,0,2.3,BR,1616052498
423,semey,50.4111,80.2275,24.8,68,0,15.66,KZ,1616052202
424,dekar,-21.5333,21.9333,74.57,63,74,5.1,BW,1616052499
425,pacasmayo,-7.4006,-79.5714,74.21,73,100,8.57,PE,1616052500
426,svetlyy,54.675,20.1347,35.01,93,75,8.95,RU,1616052502
427,abadan,30.3392,48.3043,82.4,47,20,9.22,IR,1616052503
428,caravelas,-17.7125,-39.2481,73.51,91,0,3.51,BR,1616052503
429,jiangyou,31.7667,104.7167,70.57,61,99,5.23,CN,1616052504
430,morant bay,17.8815,-76.4093,75.2,69,20,5.75,JM,1616052505
431,jamuria,23.7,87.0833,93.2,43,75,10.36,IN,1616052505
432,levski,43.3667,25.1333,43.0,80,100,3.0,BG,1616052506
433,ardakan,32.31,54.0175,78.8,24,0,9.22,IR,1616052507
434,juruti,-2.1522,-56.0922,73.44,96,100,2.64,BR,1616052507
435,arman,59.7,150.1667,14.11,70,0,3.83,RU,1616052508
436,ardahan,41.1087,42.7022,30.38,90,100,5.48,TR,1616052509
437,terra santa,-2.1042,-56.4869,73.62,97,100,1.7,BR,1616052510
438,aklavik,68.2191,-135.0107,-9.4,77,15,6.91,CA,1616052510
439,kindu,-2.95,25.95,76.1,82,98,2.26,CD,1616052511
440,pizhma,57.8642,47.1171,24.42,93,100,4.83,RU,1616052512
441,buraydah,26.326,43.975,82.4,39,0,4.61,SA,1616052512
442,belmonte,-15.8631,-38.8828,73.4,94,40,2.3,BR,1616052513
443,mosquera,4.7059,-74.2302,53.6,94,75,3.44,CO,1616052514
444,mayo,38.8876,-76.5119,46.0,100,90,6.91,US,1616052515
445,cayeli,41.0923,40.7292,49.32,90,100,4.79,TR,1616052516
446,ballina,-28.8667,153.5667,73.4,83,75,13.8,AU,1616052516
447,high rock,26.6208,-78.2833,73.4,83,20,8.05,BS,1616052517
448,taupo,-38.6833,176.0833,57.0,62,0,5.01,NZ,1616052439
449,cantapoy,9.4906,125.4364,86.31,67,4,9.01,PH,1616052518
450,praia,14.9215,-23.5087,68.0,45,0,11.5,CV,1616052519
451,severnyy,50.677,36.5532,32.0,93,90,6.71,RU,1616052520
452,monrovia,6.3005,-10.7969,73.4,94,40,4.68,LR,1616052520
453,ust-kuyga,70.0167,135.6,-22.2,81,58,5.37,RU,1616052521
454,okakarara,-20.5833,17.4333,70.29,66,13,5.03,NA,1616052522
455,ylojarvi,61.5563,23.5961,26.01,74,20,10.36,FI,1616052523
456,paola,39.3599,16.0396,41.0,91,100,1.01,IT,1616052523
457,velka bites,49.2884,16.2274,37.99,86,20,11.5,CZ,1616052524
458,sabalgarh,26.25,77.4,95.99,14,89,9.4,IN,1616052526
459,kapit,2.0167,112.9333,87.87,66,33,3.76,MY,1616052526
460,santa cruz,-17.8,-63.1667,71.6,83,75,16.11,BO,1616052527
461,esil,51.9556,66.4042,21.79,70,100,11.25,KZ,1616052528
462,sukhovolya,49.8243,23.8377,32.0,74,75,11.18,UA,1616052529
463,nauta,-4.5061,-73.5757,71.98,99,100,2.55,PE,1616052529
464,kaoma,-14.7833,24.8,70.23,88,92,5.66,ZM,1616052530
465,bambous virieux,-20.3428,57.7575,84.2,58,40,11.5,MU,1616052531
466,galdar,28.147,-15.6502,63.0,67,20,17.27,ES,1616052531
467,mweka,-4.85,21.5667,76.01,78,100,1.05,CD,1616052532
468,taiping,4.85,100.7333,91.4,62,40,4.61,MY,1616052533
469,urucara,-2.5364,-57.76,73.2,97,100,2.53,BR,1616052534
470,mayskiy,47.6931,40.1025,41.0,93,40,8.95,RU,1616052534
471,bogense,55.5669,10.0886,35.01,86,0,1.14,DK,1616052535
472,opuwo,-18.0607,13.84,69.85,53,100,5.19,NA,1616052536
473,harrisonville,38.6533,-94.3488,35.6,93,90,17.27,US,1616052536
474,verkhnevilyuysk,63.4453,120.3167,1.6,83,73,3.2,RU,1616052538
475,camapua,-19.5314,-54.0439,70.63,91,100,2.44,BR,1616052538
476,shar,49.5886,81.0453,24.75,79,100,9.04,KZ,1616052539
477,dingle,10.9995,122.6711,87.19,69,13,11.36,PH,1616052540
478,avera,33.194,-82.5271,64.4,95,90,8.05,US,1616052540
479,hammerfest,70.6634,23.6821,23.0,86,40,8.05,NO,1616052541
480,sioux lookout,50.1001,-91.917,24.8,68,1,4.41,CA,1616052542
481,constitucion,-35.3333,-72.4167,52.39,89,0,2.04,CL,1616052356
482,sosua,19.7667,-70.5167,69.8,94,40,9.89,DO,1616052543
483,vostok,46.4856,135.8833,26.28,86,100,8.28,RU,1616052544
484,nuevo casas grandes,30.4167,-107.9167,47.61,20,6,2.66,MX,1616052544
485,verkhnyaya inta,65.9811,60.3094,25.07,92,100,4.7,RU,1616052545
486,naron,43.5167,-8.1528,51.01,93,20,3.44,ES,1616052546
487,bambanglipuro,-7.95,110.2833,84.94,73,100,10.42,ID,1616052547
488,atherton,53.5237,-2.4935,44.01,90,95,3.0,GB,1616052548
489,mitu,1.1983,-70.1733,71.11,98,54,2.55,CO,1616052548
490,naze,28.3667,129.4833,69.8,94,75,2.3,JP,1616052549
491,mahibadhoo,3.7833,72.9667,81.82,73,15,4.16,MV,1616052550
492,port hardy,50.6996,-127.4199,48.2,71,90,17.27,CA,1616052551
493,bathsheba,13.2167,-59.5167,75.2,69,40,10.36,BB,1616052551
494,rorvik,64.8621,11.2373,33.8,93,40,2.3,NO,1616052552
495,magistralnyy,56.1725,107.4458,25.81,80,100,0.69,RU,1616052553
496,puerto colombia,10.9878,-74.9547,78.8,78,0,8.05,CO,1616052553
497,ulaanbaatar,47.9077,106.8832,24.8,50,40,20.13,MN,1616052542
498,saint-augustin,51.226,-58.6502,9.57,83,100,4.12,CA,1616052555
499,vestmanna,62.1564,-7.1664,42.8,100,99,12.08,FO,1616052555
500,yuci,37.6803,112.7319,42.8,65,40,11.18,CN,1616052556
501,kholm,59.2667,32.85,29.25,86,100,5.7,RU,1616052557
502,hobyo,5.3505,48.5268,84.54,68,55,12.5,SO,1616052557
503,crawley,51.113,-0.1831,42.01,87,75,8.05,GB,1616052559
504,zemio,5.0314,25.1361,73.72,83,100,5.97,CF,1616052559
505,liverpool,53.4106,-2.9779,46.4,100,90,11.5,GB,1616052560
506,hami,42.8,93.45,41.16,53,100,8.25,CN,1616052561
507,clarence town,-32.5833,151.7833,66.2,100,75,5.75,AU,1616052561
508,sistranda,63.7256,8.834,39.2,93,90,16.11,NO,1616052562
509,ilhabela,-23.7781,-45.3581,77.22,78,100,4.29,BR,1616052549
510,coquimbo,-29.9533,-71.3436,55.4,88,0,3.44,CL,1616052264
511,amapa,1.0,-52.0,67.96,99,98,2.42,BR,1616052564
512,tacuati,-23.45,-56.5833,70.72,97,70,4.36,PY,1616052565
513,saldanha,-33.0117,17.9442,60.8,82,90,11.5,ZA,1616052565
514,krasnoarmeysk,51.0239,45.6969,32.0,93,41,1.99,RU,1616052299
515,goure,13.9835,10.2704,86.0,14,5,7.0,NE,1616052567
516,bara,10.3744,10.7288,82.81,31,63,4.29,NG,1616052568
517,alta floresta,-9.8756,-56.0861,70.56,98,100,1.34,BR,1616052568
518,bercel,47.8706,19.4072,39.99,65,0,6.91,HU,1616052569
519,tiarei,-17.5333,-149.3333,80.6,74,20,3.44,PF,1616052570
520,le lamentin,14.6153,-61.0019,75.2,78,20,3.44,MQ,1616052571
521,kamogawa,35.1,140.1,63.0,55,20,10.36,JP,1616052571
522,asyut,27.181,31.1837,57.2,51,0,5.75,EG,1616052572
523,tranas,58.0372,14.9782,33.8,86,0,5.75,SE,1616052573
524,clarksburg,39.2807,-80.3445,57.2,67,90,5.75,US,1616052545
525,makokou,0.5738,12.8642,71.6,94,75,0.96,GA,1616052574
526,zelenogorskiy,55.0333,87.0,15.8,79,75,13.42,RU,1616052575
527,shimoda,34.6667,138.95,59.0,67,75,3.44,JP,1616052575
528,bud,39.447,-86.1758,55.0,98,100,9.37,US,1616052576
529,bosaso,11.2842,49.1816,82.4,61,0,17.27,SO,1616052390
530,olavarria,-36.8927,-60.3225,46.0,88,0,7.38,AR,1616052577
531,porto novo,6.4965,2.6036,80.6,83,40,5.75,BJ,1616052578
532,una,20.8167,71.0333,89.47,29,3,12.3,IN,1616052579
533,vredendal,-31.6683,18.5012,64.83,78,59,6.96,ZA,1616052579
534,haapiti,-17.5667,-149.8667,80.6,74,20,3.44,PF,1616052580
535,dhidhdhoo,6.8833,73.1,83.43,63,89,4.68,MV,1616052581
536,troitsko-pechorsk,62.7084,56.1964,26.06,92,100,9.28,RU,1616052581
537,araouane,18.9048,-3.5265,67.5,15,0,6.8,ML,1616052582
538,san angelo,31.4638,-100.437,45.0,70,1,9.86,US,1616052583
539,kansas city,39.0997,-94.5786,37.99,87,90,19.57,US,1616052341
540,auki,-8.7676,160.7034,80.83,80,90,1.9,SB,1616052584
